Bytes,ActualSize - range,ActualSize - static range,Ouroboros-P-VA - range,Ouroboros-P-VA - static range,Ouroboros-C-S - range,Ouroboros-C-S - static range,Gallatin - range,Gallatin - static range,Ouroboros-P-S - range,Ouroboros-P-S - static range,RegEff-AW - range,RegEff-AW - static range,Ouroboros-P-VL - range,Ouroboros-P-VL - static range,Ouroboros-C-VL - range,Ouroboros-C-VL - static range,RegEff-A - range,RegEff-A - static range,RegEff-CF - range,RegEff-CF - static range,CUDA - range,CUDA - static range,RegEff-C - range,RegEff-C - static range,RegEff-CFM - range,RegEff-CFM - static range,RegEff-CM - range,RegEff-CM - static range
4,4000000,4000000,16415216,16415216,16257136,16257136,287510000,306642928,16249968,16257136,15999984,799999984,16423536,16423536,16265424,16265456,15999984,799999984,1614774272,1836761088,8588623664,8589899568,1894432768,1894432768,2132738048,2146846400,3148546048,3165379072
8,8000000,8000000,16423536,16423536,16257120,16257136,287519728,320471024,16249968,16257136,15999984,799999984,16431856,16431856,16265328,16265456,15999984,799999984,1745584128,1841004544,8588674352,8589853232,1771962368,1927110656,2133843968,2146606784,3152363520,3165814080
16,16000000,16000000,16415216,16415216,16257104,16257136,288497136,303497200,16249968,16257136,15999984,799999984,16431856,16431856,16265408,16265456,15999984,799999984,1678114816,2147479520,8589848880,8589899568,1911758848,2500306432,2133086208,2147483552,3153666048,3170893824
32,32000000,32000000,32589280,32589280,32505664,32506080,269420512,386531296,32499936,32506080,31999968,1599999968,32672480,32672480,32522720,32522720,31999968,1599999968,1740898304,2147479488,8588623664,8589899568,1930371072,3221225664,2133110880,2147483520,3151241216,3170893872
64,64000000,64000000,65078848,65078848,65003904,65003968,284432320,352321472,64999872,65003968,63999936,3199999936,65157952,65162048,65036736,65037248,63999936,3199999936,1757331536,2147479456,8589899568,8589899568,1948254208,3221459792,2131247104,2145386368,3152674816,3170893984
128,128000000,128000000,130066304,130066304,129999744,129999744,336068480,385875840,129999744,129999744,127999872,4294967168,130149504,130149504,130066304,130066304,127999872,4294967168,1876639744,2147479344,8588623584,8589899488,2041315328,3221795136,2133807104,2143289088,3154282496,3170896128
256,256000000,256000000,260057856,260057856,259999616,259999616,441581312,503316224,259999616,259999616,255999744,4294967040,260141056,260141056,260141056,260141056,255999744,4294967040,1619722240,2147479264,0,0,0,0,2133782800,2141191680,3154145280,3170901984
512,512000000,512000000,520049280,520049280,519999360,519999360,680476160,754974208,519999360,519999360,511999488,4294966784,520132480,520132480,520132480,520132480,511999488,4294966784,0,0,0,0,0,0,0,0,3153154048,3170921280
1024,1024000000,1024000000,1040040448,1040040448,1039998848,1039998848,1166605312,1258290176,1039998848,1039998848,1023998976,4294966272,1040123648,1040123648,1040131968,1040131968,1023998976,4294966272,0,0,0,0,0,0,0,0,0,0
2048,2048000000,2048000000,2080031104,2080031104,2079997824,2079997824,2131884032,2264922112,2079997824,2079997824,2047997952,4294965248,2080114304,2080114304,2080172544,2080172544,2047997952,4294965248,0,0,8589631584,8589897824,0,0,0,0,0,0
4096,4096000000,4096000000,4160020736,4160020736,0,0,4112773120,4227854336,4159995776,4159995776,4095995904,4294963200,4160103936,4160103936,0,0,4095995904,4294963200,0,0,8588670400,8589895616,0,0,0,0,0,0
