Threads,RegEff-AW,RegEff-CM,Ouroboros-C-VA,Ouroboros-P-S,RegEff-C,Ouroboros-C-VL,FDGMalloc,CUDA,Ouroboros-C-S,Ouroboros-P-VL,Gallatin,RegEff-CF,Ouroboros-P-VA,RegEff-CFM,ScatterAlloc
1,0.016384,0.008192,0.015936,0.13744,0.009152,0.015776,0.0,0.023552,0.014176,0.073536,0.012288,0.008192,0.317248,0.009216,0.01024
2,0.016384,0.01024,0.017024,0.157984,0.009216,0.016032,0.0,0.025504,0.014464,0.079584,0.012288,0.009216,0.340416,0.01024,0.0
4,0.017344,0.012288,0.016576,0.159168,0.011264,0.015776,0.0,0.027648,0.014464,0.079936,0.012288,0.011264,0.337312,0.012288,0.0
8,0.017408,0.017408,0.01664,0.15984,0.01536,0.016,0.0,0.032768,0.014496,0.07984,0.012288,0.01536,0.335968,0.016384,0.0
16,0.016384,0.026624,0.01696,0.159648,0.023552,0.01616,0.0,0.045056,0.01456,0.079296,0.012288,0.022528,0.345024,0.0256,0.0
32,0.016384,0.04608,0.016928,0.160096,0.04096,0.016192,0.0,0.074752,0.014496,0.079808,0.011264,0.037888,0.337792,0.043008,0.0
64,0.016384,0.058368,0.017504,0.158688,0.055296,0.016384,0.0,0.096256,0.01456,0.079552,0.011264,0.047104,0.33408,0.0512,0.0
128,0.016384,0.094208,0.017728,0.157792,0.095232,0.016896,0.0,0.154624,0.01504,0.080384,0.011264,0.068608,0.332256,0.062464,0.0
256,0.016384,0.173056,0.018688,0.1544,0.171008,0.01776,0.0,0.169824,0.01664,0.081216,0.011264,0.137216,0.325152,0.141312,0.0
512,0.016384,0.17408,0.021088,0.149184,0.316416,0.020064,0.0,0.1792,0.01856,0.081664,0.012288,0.24064,0.316352,0.141312,0.0
1024,0.016384,0.173056,0.02544,0.155328,0.524288,0.024416,0.0,0.24576,0.023872,0.085248,0.011264,0.442368,0.316832,0.137216,0.0
2048,0.016384,0.175104,0.035904,0.166688,0.582656,0.03472,0.0,0.37168,0.03488,0.098464,0.011264,0.346112,0.331904,0.13312,0.0
4096,0.016384,0.175104,0.0568,0.191552,1.10182,0.055776,0.0,0.590816,0.055872,0.133888,0.011264,0.9216,0.356576,0.120832,0.0
8192,0.016384,0.176128,0.100672,0.2408,2.79347,0.098112,0.0,1.04653,0.09968,0.287072,0.012288,2.08794,0.411008,0.11264,0.0
16384,0.016384,0.1792,0.1952,0.370112,6.35802,0.188672,0.0,1.64032,0.192736,0.530752,0.012288,5.00122,0.687488,0.167936,0.0
32768,0.016384,0.237568,0.46928,0.639328,15.743,0.450016,0.0,3.88813,0.455392,1.21434,0.012288,13.5209,0.951168,0.342016,0.0
65536,0.016384,0.456704,1.35318,1.53152,48.1403,1.30614,0.0,8.2729,1.31389,3.06432,0.012288,43.8446,1.7976,0.841728,0.0
131072,0.018432,1.01683,4.38794,4.20134,135.696,4.16019,0.0,22.741,4.32675,8.45014,0.014336,136.598,4.05459,2.06541,0.0
262144,0.020416,2.65728,11.0636,6.29984,146.961,9.87904,0.0,42.3414,11.0204,23.0237,0.03584,145.668,5.76218,4.224,0.0
524288,0.029696,5.94739,24.3653,9.37245,242.459,21.2703,0.0,128.465,24.2836,51.9714,0.06656,215.775,9.45683,7.60832,0.0
1048576,0.044032,12.0975,51.2295,15.4734,480.52,44.2223,0.0,495.952,50.9623,109.412,0.132096,416.946,16.6473,15.9683,0.0
