Threads,Gallatin,FDGMalloc,Ouroboros-C-VL,Ouroboros-C-VA,RegEff-CFM,Ouroboros-P-VA,RegEff-CM,RegEff-CF,Ouroboros-P-S,Ouroboros-C-S,ScatterAlloc,Ouroboros-P-VL,RegEff-C,CUDA,RegEff-AW
1,0.012288,0.0,0.015744,0.016704,0.009216,0.31936,0.009216,0.012288,0.139712,0.014368,0.009216,0.074336,0.018432,0.023456,0.014336
2,0.012288,0.0,0.015936,0.016672,0.01024,0.338368,0.009216,0.008192,0.159744,0.014336,0.0,0.078912,0.009216,0.02544,0.014304
4,0.012288,0.0,0.015904,0.016768,0.012288,0.33968,0.012288,0.011264,0.158976,0.0144,0.0,0.07936,0.011264,0.027648,0.016384
8,0.012288,0.0,0.016032,0.016832,0.016384,0.33792,0.017408,0.01536,0.158752,0.01424,0.0,0.079744,0.01536,0.032768,0.016384
16,0.012288,0.0,0.016256,0.017216,0.0256,0.337792,0.026624,0.022528,0.159936,0.014336,0.0,0.08176,0.023552,0.045056,0.016384
32,0.012288,0.0,0.016,0.017024,0.044032,0.336448,0.04608,0.038912,0.15952,0.014528,0.0,0.080256,0.04096,0.074752,0.016384
64,0.011264,0.0,0.016224,0.01744,0.0512,0.336256,0.058368,0.047104,0.159104,0.01456,0.0,0.081248,0.054272,0.095232,0.016384
128,0.012288,0.0,0.0168,0.017504,0.064512,0.329632,0.093184,0.068608,0.15712,0.015136,0.0,0.079904,0.094208,0.154624,0.01648
256,0.011264,0.0,0.017792,0.018528,0.140288,0.33168,0.173056,0.136192,0.15504,0.01664,0.0,0.081504,0.171008,0.16576,0.016384
512,0.012288,0.0,0.020032,0.021056,0.140288,0.318048,0.173056,0.24064,0.148832,0.0184,0.0,0.080448,0.316416,0.177152,0.016384
1024,0.011264,0.0,0.02416,0.025344,0.13824,0.317216,0.17408,0.44848,0.1552,0.023936,0.0,0.083936,0.520192,0.24576,0.016448
2048,0.012288,0.0,0.034784,0.035808,0.129024,0.331328,0.175104,0.34304,0.166656,0.034944,0.0,0.09952,0.585728,0.370688,0.016384
4096,0.011264,0.0,0.055648,0.057344,0.11776,0.361632,0.175104,0.911264,0.192384,0.056416,0.0,0.132992,1.08954,0.596992,0.016384
8192,0.012288,0.0,0.099456,0.101824,0.111616,0.412448,0.176128,2.10022,0.242368,0.099776,0.0,0.283904,2.80678,1.03424,0.016384
16384,0.012288,0.0,0.188576,0.197184,0.164864,0.678944,0.1792,5.0647,0.36816,0.191872,0.0,0.5216,6.3569,1.64454,0.016384
32768,0.012288,0.0,0.452384,0.471328,0.34304,0.947872,0.238592,13.0888,0.643584,0.455744,0.0,1.22317,16.0308,3.85126,0.018432
65536,0.012288,0.0,1.3016,0.0,0.8448,1.79798,0.45056,46.2141,1.53421,1.31107,0.0,3.11114,47.7245,8.38963,0.016384
131072,0.014336,0.0,4.16458,4.38269,2.0224,4.05101,1.02298,135.597,4.19763,4.32896,0.0,8.43171,134.358,21.5859,0.018432
262144,0.03584,0.0,9.90211,11.072,4.10624,5.81866,2.7095,144.941,6.3049,10.9872,0.0,23.0312,146.677,41.5734,0.022528
524288,0.066592,0.0,21.2553,24.3852,7.54381,9.36534,5.91565,214.799,9.35981,24.2941,0.0,51.8599,244.353,128.817,0.029664
1048576,0.132096,0.0,44.2834,51.166,15.873,16.7208,12.2337,436.084,15.3789,50.9484,0.0,109.159,481.663,497.798,0.044032
2097152,0.222208,0.0,89.9022,104.342,32.5775,31.402,24.5903,765.01,27.019,104.152,0.0,223.716,738.937,1983.16,0.070656
4194304,0.401408,0.0,181.432,211.036,65.8196,60.9454,49.3988,1360.1,49.2326,210.787,0.0,448.538,1090.87,0.0,0.12288
8388608,0.758784,0.0,363.16,422.288,143.612,119.209,104.552,0.0,94.2286,421.566,0.0,900.76,1741.63,0.0,0.2304
16777216,1.43872,0.0,726.621,846.164,415.179,237.109,227.477,0.0,0.0,843.191,0.0,1806.17,0.0,0.0,0.448512
33554432,2.68186,0.0,1451.52,1687.9,0.0,470.953,504.902,0.0,0.0,1686.15,0.0,0.0,0.0,0.0,0.885632
67108864,4.9705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75616
134217728,9.08083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5031
268435456,16.5837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.98573
