Threads,RegEff-CM,RegEff-AW,Gallatin,Ouroboros-P-S,Ouroboros-P-VL,ScatterAlloc,Ouroboros-C-VA,FDGMalloc,RegEff-CFM,Ouroboros-C-S,RegEff-C,Ouroboros-P-VA,CUDA,RegEff-CF,Ouroboros-C-VL
1,0.009216,0.014368,0.012288,0.016512,0.016608,0.009216,0.019008,0.0,0.009216,0.017248,0.009216,0.024064,0.024512,0.008192,0.01968
2,0.009216,0.014336,0.012288,0.017728,0.017216,0.01024,0.021248,0.0,0.01024,0.017056,0.009216,0.025184,0.0256,0.009216,0.02032
4,0.012288,0.017408,0.012288,0.01808,0.017472,0.01024,0.021728,0.0,0.012288,0.018496,0.011264,0.025312,0.033792,0.011264,0.020672
8,0.017408,0.016416,0.012288,0.017888,0.017184,0.009216,0.022592,0.0,0.016384,0.019616,0.01536,0.025216,0.04608,0.01536,0.022112
16,0.026624,0.016384,0.013312,0.0176,0.017248,0.012256,0.02592,0.0,0.0256,0.022528,0.024576,0.025152,0.079872,0.022528,0.025344
32,0.04704,0.016384,0.011264,0.02384,0.02128,0.01536,0.032736,0.0,0.042976,0.027296,0.04096,0.03792,0.155648,0.038912,0.031936
64,0.059328,0.017408,0.012288,0.030208,0.026112,0.01536,0.036768,0.0,0.0512,0.029568,0.055296,0.049728,0.22016,0.047104,0.035744
128,0.093184,0.016416,0.011264,0.042976,0.03472,0.01536,0.044832,0.0,0.062464,0.037632,0.095232,0.072448,0.320512,0.068608,0.041952
256,0.173056,0.017408,0.012288,0.051648,0.0416,0.016384,0.060928,0.0,0.140288,0.049344,0.171008,0.088256,0.559104,0.137216,0.057344
512,0.17408,0.017408,0.012288,0.066432,0.056192,0.016384,0.081952,0.0,0.13824,0.066624,0.317376,0.11296,0.960512,0.24064,0.076992
1024,0.17408,0.017408,0.012288,0.089792,0.084928,0.016384,0.128128,0.0,0.139264,0.095872,0.535552,0.137696,1.70189,0.441344,0.114816
2048,0.175104,0.016384,0.011264,0.137408,0.141024,0.017408,0.22192,0.0,0.129024,0.15536,0.586752,0.187008,3.2297,0.330752,0.194944
4096,0.175168,0.016384,0.011264,0.225152,0.244224,0.016416,0.403488,0.0,0.124928,0.271744,1.024,0.27456,6.39488,0.872448,0.348992
8192,0.177152,0.017312,0.028672,0.400544,0.442368,0.017408,0.768544,0.0,0.11264,0.506528,2.63782,0.451424,12.7007,1.97632,0.659616
16384,0.181248,0.017408,0.038912,0.776768,0.874976,0.018432,1.53123,0.0,0.15872,1.01898,6.1184,0.818976,26.1089,4.46976,1.29488
32768,0.262144,0.017408,0.064512,1.7959,2.0745,0.023552,3.42294,0.0,0.319488,2.38381,14.8705,1.836,59.7801,12.1958,2.81101
65536,0.432128,0.016384,0.11776,4.93206,6.08189,0.0296,8.22848,0.0,0.799744,6.2161,46.9146,5.10192,146.807,41.3133,7.21731
131072,1.14074,0.017408,0.24064,14.1347,18.362,0.485376,0.0,0.0,2.02035,18.746,141.025,16.5986,483.112,125.819,20.57
262144,2.95322,0.022528,0.480256,43.8522,57.2811,1.49914,0.0,0.0,4.84659,42.9928,185.574,47.3609,2084.89,171.806,47.0233
524288,6.1399,0.028672,0.915456,102.621,135.251,6.20032,0.0,0.0,11.9071,85.8422,265.563,109.429,0.0,284.396,101.462
1048576,15.1532,0.042048,1.70496,221.502,288.492,35.072,0.0,0.0,309.19,165.967,405.015,233.109,0.0,467.747,209.998
