Threads,Ouroboros-C-VL,Ouroboros-P-VL,RegEff-AW,RegEff-CF,Ouroboros-P-S,Gallatin,FDGMalloc,RegEff-CM,Ouroboros-C-S,ScatterAlloc,Ouroboros-C-VA,CUDA,RegEff-C,RegEff-CFM,Ouroboros-P-VA
1,0.015776,0.02992,0.014336,0.009216,0.044256,0.011264,0.0,0.0072,0.013664,0.01024,0.017152,0.023552,0.009216,0.009216,0.089344
2,0.016128,0.03136,0.017408,0.009216,0.049408,0.012288,0.0,0.01024,0.01456,0.0,0.017184,0.024736,0.009216,0.01024,0.096288
4,0.019136,0.031328,0.01648,0.011264,0.049824,0.012288,0.0,0.012288,0.016896,0.0,0.019904,0.027648,0.011264,0.012288,0.097696
8,0.020608,0.031648,0.017408,0.01536,0.04912,0.012288,0.0,0.017408,0.01856,0.0,0.021408,0.03264,0.01536,0.016384,0.096192
16,0.022656,0.031552,0.017408,0.022528,0.049504,0.012288,0.0,0.026624,0.020768,0.0,0.023872,0.045056,0.024576,0.0256,0.095232
32,0.02288,0.031552,0.017408,0.037888,0.049024,0.011264,0.0,0.047072,0.020864,0.0,0.023488,0.074752,0.04096,0.043008,0.096224
64,0.023392,0.031424,0.017408,0.047104,0.048832,0.011264,0.0,0.058368,0.0216,0.0,0.024736,0.095232,0.055296,0.0512,0.093568
128,0.026944,0.031552,0.017408,0.068608,0.0472,0.011264,0.0,0.093184,0.0256,0.0,0.028544,0.14336,0.095232,0.068608,0.08976
256,0.028896,0.031936,0.017408,0.13824,0.048832,0.011264,0.0,0.174048,0.027168,0.0,0.030688,0.165888,0.171008,0.140288,0.090656
512,0.034912,0.036512,0.017408,0.24064,0.055072,0.012288,0.0,0.17408,0.0328,0.0,0.036352,0.176064,0.316416,0.140288,0.09504
1024,0.044224,0.061152,0.017408,0.437248,0.087616,0.011264,0.0,0.173056,0.041312,0.0,0.047008,0.24672,0.524288,0.13824,0.169792
2048,0.062208,0.097792,0.01648,0.347136,0.10704,0.011264,0.0,0.175104,0.058176,0.0,0.06688,0.367616,0.585728,0.124928,0.19008
4096,0.099008,0.175232,0.017408,0.908288,0.139104,0.011264,0.0,0.175104,0.088768,0.0,0.107424,0.600064,1.01376,0.121856,0.248448
8192,0.17008,0.324256,0.017376,1.98451,0.203616,0.011264,0.0,0.176128,0.155136,0.0,0.191296,1.04243,2.68595,0.111616,0.318496
16384,0.3224,0.625632,0.016416,4.61824,0.338624,0.012288,0.0,0.1792,0.29504,0.0,0.365056,1.64454,6.19622,0.16384,0.463072
32768,0.75136,1.30563,0.016384,12.3924,0.734176,0.012288,0.0,0.24576,0.70432,0.0,0.846912,4.10314,15.3047,0.328704,0.843968
65536,2.12992,3.31523,0.017408,42.6281,1.96595,0.012288,0.0,0.44032,2.03696,0.0,2.41139,8.39885,46.3862,0.801792,2.1073
131072,6.36902,9.25098,0.019456,125.676,5.56266,0.04608,0.0,1.08851,6.89904,0.0,7.60074,20.992,131.188,1.99782,6.12064
262144,14.7089,26.0087,0.021504,138.359,13.8065,0.075776,0.0,2.89277,17.8684,0.0,0.0,40.656,154.296,4.28339,15.9734
524288,31.9866,58.9236,0.029696,262.324,30.2364,0.136192,0.0,6.15424,40.0002,0.0,41.5654,128.552,275.201,8.00563,35.5211
1048576,66.9847,124.309,0.044032,445.559,63.0588,0.24576,0.0,12.0986,84.1549,0.0,86.5504,496.684,418.734,16.8643,74.9334
