Threads,RegEff-C,FDGMalloc,RegEff-AW,Ouroboros-C-VA,Gallatin,RegEff-CFM,Ouroboros-P-VL,Ouroboros-P-VA,Ouroboros-P-S,Ouroboros-C-S,Ouroboros-C-VL,CUDA,RegEff-CM,ScatterAlloc,RegEff-CF
1,0.009216,0.0,0.01536,0.020928,0.012288,0.012288,0.015872,0.015968,0.013152,0.016928,0.020064,0.019456,0.009216,0.009216,0.008192
2,0.009056,0.0,0.017408,0.027328,0.012288,0.01024,0.018592,0.019072,0.015648,0.021728,0.02608,0.021504,0.009216,0.012288,0.009216
4,0.011264,0.0,0.017408,0.04064,0.012288,0.012288,0.024384,0.025664,0.019808,0.030336,0.038272,0.024576,0.012288,0.017408,0.011264
8,0.01536,0.0,0.017408,0.066848,0.012288,0.016384,0.035456,0.038336,0.02784,0.046912,0.06224,0.03584,0.017408,0.026624,0.01536
16,0.023552,0.0,0.016448,0.119072,0.012352,0.0256,0.057792,0.064096,0.044416,0.081792,0.10736,0.053152,0.026624,0.045088,0.022528
32,0.041984,0.0,0.016384,0.22528,0.012288,0.043008,0.10272,0.11488,0.077408,0.15328,0.202752,0.099328,0.04608,0.086016,0.037888
64,0.054272,0.0,0.017408,0.287648,0.012288,0.052224,0.148832,0.16704,0.112256,0.195424,0.253856,0.130048,0.059392,0.164864,0.048128
128,0.094208,0.0,0.017408,0.37728,0.011264,0.068608,0.205472,0.228576,0.156896,0.260288,0.339424,0.183296,0.093184,0.331776,0.068608
256,0.172032,0.0,0.017408,0.538912,0.011296,104.741,0.280832,0.311168,0.224448,0.385664,0.48032,0.241664,70.4481,0.653312,0.139264
512,0.316416,0.0,0.017408,0.855808,0.011264,0.121856,0.411328,0.432288,0.347776,0.60992,0.760384,0.347136,70.4645,1.33837,0.24064
1024,0.520192,0.0,0.017408,1.49917,0.011264,102.473,0.65296,0.66928,0.573632,1.03443,1.29526,0.58368,70.484,3.80109,0.459776
2048,0.601088,0.0,0.016384,2.90954,0.012288,0.120832,1.13162,1.13446,1.04826,1.92115,2.45053,1.11104,70.5249,13.1113,0.330752
4096,0.94208,0.0,0.017408,5.50557,0.0512,0.116736,2.03107,2.0415,1.92211,3.67181,4.65539,2.03162,70.6345,52.268,0.90624
8192,2.57536,0.0,0.017408,0.0,0.068544,0.108544,3.85002,3.77078,3.7232,7.22659,9.16282,3.50925,70.7799,216.571,2.00499
16384,5.98835,0.0,0.017408,21.7283,0.109568,0.187392,7.74333,7.70141,7.46922,15.0294,18.4969,7.10246,70.9898,931.21,4.51072
32768,16.6707,0.0,0.017408,0.0,0.188416,497.124,18.4663,18.5585,17.9908,35.9833,40.7659,16.0388,71.4148,0.0,14.7128
65536,82.6532,0.0,0.017408,0.0,0.392192,0.0,53.3453,54.8376,52.3672,93.4027,90.7665,42.4827,915.611,0.0,75.4278
131072,267.961,0.0,0.016384,0.0,0.836608,0.0,157.468,187.058,153.661,258.07,202.923,133.908,0.0,0.0,252.475
262144,0.0,0.0,0.014336,0.0,1.69779,0.0,497.952,548.089,476.046,874.537,432.278,461.578,0.0,0.0,0.0
