Threads,FDGMalloc,Ouroboros-P-VL,ScatterAlloc,RegEff-AW,Ouroboros-C-S,RegEff-CM,Ouroboros-P-S,RegEff-C,Gallatin,Ouroboros-C-VL,CUDA,RegEff-CFM,Ouroboros-C-VA,Ouroboros-P-VA,RegEff-CF
1,0.0,0.008192,0.007168,0.006144,0.007168,0.006144,0.008192,0.007168,0.007168,0.007168,0.016384,0.007168,0.006144,0.008192,0.006144
2,0.0,0.008192,0.0,0.006144,0.007168,0.007168,0.008192,0.007168,0.006208,0.007136,0.016384,0.00624,0.007168,0.008192,0.007168
4,0.0,0.008192,0.0,0.006144,0.007168,0.007136,0.008192,0.007168,0.007168,0.007168,0.017408,0.007136,0.007168,0.008192,0.007168
8,0.0,0.008192,0.0,0.006144,0.007168,0.006272,0.008192,0.007168,0.007136,0.007168,0.018432,0.007168,0.007168,0.008192,0.007168
16,0.0,0.008192,0.0,0.006144,0.007168,0.007168,0.008192,0.006208,0.007136,0.007168,0.0224,0.00704,0.008096,0.008192,0.007168
32,0.0,0.008192,0.0,0.007168,0.007168,0.00704,0.008192,0.007136,0.007136,0.007168,0.026624,0.00624,0.007168,0.008192,0.007168
64,0.0,0.008192,0.0,0.006144,0.007168,0.007168,0.008192,0.006144,0.006144,0.007168,0.034816,0.007168,0.007168,0.008192,0.007168
128,0.0,0.008192,0.0,0.006144,0.007168,0.007168,0.008192,0.006144,0.006144,0.007168,0.048128,0.007168,0.007168,0.008192,0.006208
256,0.0,0.00912,0.0,0.006144,0.007168,0.006208,0.008192,0.006176,0.007072,0.007168,0.080864,0.007168,0.008128,0.009216,0.007168
512,0.0,0.008192,0.0,0.006144,0.008192,0.007168,0.008192,0.007168,0.007168,0.008192,0.139264,0.007168,0.009216,0.009216,0.007136
1024,0.0,0.009216,0.0,0.007168,0.008192,0.007104,0.009216,0.00704,0.00624,0.008192,0.278528,0.006208,0.01024,0.009216,0.007168
2048,0.0,0.0112,0.0,0.007168,0.009216,0.007168,0.009216,0.007168,0.007104,0.008192,0.607232,0.007168,0.01024,0.011264,0.007104
4096,0.0,0.014336,0.0,0.007168,0.01024,0.007136,0.011264,0.007168,0.007072,0.01024,1.19501,0.007168,0.012288,0.013312,0.007168
8192,0.0,0.02048,0.0,0.007168,0.013312,0.007104,0.014336,0.007168,0.006176,0.013312,2.22106,0.007072,0.014368,0.018432,0.007168
16384,0.0,0.034816,0.0,0.007168,0.02048,0.007168,0.022528,0.007168,0.007168,0.019456,3.58298,0.007168,0.02048,0.025568,0.008192
32768,0.0,0.070656,0.0,0.007168,0.033792,0.007168,0.037888,0.008192,0.007168,0.033792,8.28826,0.007168,0.034816,0.039936,0.01024
65536,0.0,0.176128,0.0,0.007168,0.060416,0.008192,0.067584,0.01024,0.007168,0.060416,16.9901,0.009216,0.06144,0.070656,0.014336
131072,0.0,0.470016,0.0,0.007168,0.11264,0.022528,0.132096,0.014336,0.009216,0.113536,29.8127,0.022528,0.113664,0.132096,0.021504
262144,0.0,1.40595,0.0,0.00624,0.222208,0.078848,0.270336,0.055296,0.014336,0.223232,41.6061,0.075776,0.224256,0.259072,0.059392
524288,0.0,3.73248,0.0,0.007168,0.439296,0.162816,0.531456,0.125952,0.024576,0.438272,65.1305,0.159744,0.444416,0.523264,0.128864
1048576,0.0,8.58317,0.0,0.008192,0.869376,0.319488,1.09773,0.29184,0.03888,0.8704,112.686,0.316416,0.87552,1.06086,0.275456
