Threads,Ouroboros-C-S,ScatterAlloc,Ouroboros-C-VL,RegEff-CM,RegEff-CF,RegEff-AW,CUDA,Ouroboros-C-VA,Gallatin,Ouroboros-P-VL,FDGMalloc,RegEff-C,RegEff-CFM,Ouroboros-P-VA,Ouroboros-P-S
1,0.007168,0.007168,0.007168,0.006208,0.01024,0.006144,0.015552,0.007168,0.006144,0.008192,0.0,0.008192,0.006144,0.008192,0.008192
2,0.007168,0.0,0.006144,0.006144,0.00512,0.006144,0.017312,0.007168,0.007168,0.008192,0.0,0.008192,0.006144,0.007168,0.008192
4,0.007168,0.0,0.007168,0.006144,0.007168,0.006144,0.017408,0.007168,0.007168,0.008192,0.0,0.007168,0.006144,0.008192,0.008192
8,0.007168,0.0,0.007168,0.007168,0.00624,0.006144,0.01856,0.007168,0.007168,0.008192,0.0,0.006144,0.007072,0.008192,0.008192
16,0.007168,0.0,0.007168,0.007168,0.006208,0.006144,0.022464,0.007168,0.007168,0.008192,0.0,0.007168,0.007168,0.008192,0.008192
32,0.007168,0.0,0.007168,0.006176,0.00704,0.006144,0.026624,0.007168,0.007104,0.008192,0.0,0.007168,0.00624,0.008192,0.008192
64,0.007168,0.0,0.007168,0.00624,0.007136,0.006144,0.034816,0.00816,0.007168,0.008192,0.0,0.007168,0.006208,0.008192,0.008192
128,0.007168,0.0,0.007168,0.006144,0.007104,0.006144,0.047936,0.007168,0.007136,0.008192,0.0,0.007104,0.00624,0.008192,0.008192
256,0.007168,0.0,0.007168,0.007168,0.007168,0.006144,0.080832,0.007168,0.007168,0.008192,0.0,0.006144,0.007104,0.009216,0.008192
512,0.008192,0.0,0.008192,0.007104,0.007136,0.006144,0.139264,0.009216,0.007168,0.008192,0.0,0.007136,0.00624,0.009216,0.008192
1024,0.008192,0.0,0.008192,0.007168,0.007168,0.007168,0.279488,0.01024,0.007168,0.009216,0.0,0.007168,0.007168,0.009216,0.009152
2048,0.009216,0.0,0.008192,0.007136,0.006144,0.007168,0.606272,0.01024,0.006144,0.011264,0.0,0.007136,0.00704,0.011264,0.009216
4096,0.01024,0.0,0.01024,0.007168,0.006208,0.007168,1.19296,0.012288,0.007168,0.014336,0.0,0.007168,0.00624,0.013312,0.011264
8192,0.013312,0.0,0.013312,0.006144,0.007168,0.007168,2.21174,0.014336,0.007104,0.02048,0.0,0.006208,0.007104,0.018432,0.014336
16384,0.019456,0.0,0.020416,0.007168,0.008192,0.007168,3.57056,0.021504,0.007168,0.034816,0.0,0.007168,0.007168,0.024576,0.022528
32768,0.033792,0.0,0.033792,0.007168,0.01024,0.01024,8.2985,0.034816,0.007168,0.070656,0.0,0.008192,0.007168,0.039936,0.036864
65536,0.060416,0.0,0.059424,0.008192,0.014336,0.007168,16.6892,0.0,0.008192,0.175104,0.0,0.01024,0.009216,0.070656,0.067584
131072,0.11264,0.0,0.11264,0.022528,0.023552,0.007168,29.2004,0.113664,0.008192,0.470016,0.0,0.013312,0.022528,0.131072,0.134144
262144,0.223232,0.0,0.222208,0.079872,0.062464,0.007168,41.5374,0.224256,0.014336,1.40902,0.0,0.055296,0.0768,0.257024,0.267264
524288,0.439296,0.0,0.439264,0.162816,0.128,0.007168,64.7823,0.442368,0.024576,3.7335,0.0,0.128,0.15872,0.51712,0.570368
1048576,0.8704,0.0,0.872448,0.319488,0.2752,0.008192,112.923,0.864256,0.038912,8.64461,0.0,0.291584,0.319392,1.04755,1.07725
2097152,1.73459,0.0,1.72749,0.62464,0.560128,0.011264,209.379,1.73261,0.054272,18.3685,0.0,0.620544,0.625664,2.13094,2.19955
4194304,3.41197,0.0,3.44269,1.18886,1.13254,0.016384,0.0,3.43962,0.091136,38.4225,0.0,1.28,1.21958,4.26291,4.2967
8388608,6.83408,0.0,6.82877,2.23437,0.0,0.026624,0.0,6.84032,0.16384,78.6647,0.0,2.52416,2.34896,8.31078,8.60262
16777216,13.7257,0.0,13.6774,3.98947,0.0,0.050176,0.0,13.7554,0.3072,161.036,0.0,0.0,4.08678,17.3988,0.0
33554432,27.434,0.0,27.2927,7.04598,0.0,0.095232,0.0,27.3828,0.600064,0.0,0.0,0.0,0.0,33.5144,0.0
67108864,0.0,0.0,0.0,0.0,0.0,0.185344,0.0,0.0,1.18784,0.0,0.0,0.0,0.0,0.0,0.0
134217728,0.0,0.0,0.0,0.0,0.0,0.365568,0.0,0.0,2.36646,0.0,0.0,0.0,0.0,0.0,0.0
268435456,0.0,0.0,0.0,0.0,0.0,0.724992,0.0,0.0,4.7063,0.0,0.0,0.0,0.0,0.0,0.0
