Threads,RegEff-C,FDGMalloc,CUDA,RegEff-CF,ScatterAlloc,Ouroboros-C-VL,Ouroboros-P-VA,Ouroboros-C-VA,Ouroboros-P-VL,RegEff-CM,Ouroboros-C-S,RegEff-AW,RegEff-CFM,Ouroboros-P-S,Gallatin
1,0.007168,0.0,0.017344,0.006144,0.007104,0.007168,0.008192,0.006144,0.008192,0.007168,0.007168,0.007136,0.007168,0.007168,0.006176
2,0.007168,0.0,0.017344,0.007168,0.007168,0.007168,0.008192,0.007168,0.008192,0.007072,0.006144,0.006144,0.007168,0.008192,0.006144
4,0.007168,0.0,0.019456,0.007136,0.007168,0.007168,0.008192,0.007168,0.008192,0.007168,0.007168,0.006144,0.007168,0.008192,0.007104
8,0.007168,0.0,0.021376,0.007104,0.007168,0.007168,0.008192,0.007168,0.008192,0.007136,0.007168,0.006144,0.007168,0.008192,0.006144
16,0.007168,0.0,0.027616,0.007168,0.007168,0.008192,0.008192,0.009216,0.008192,0.006208,0.008192,0.006144,0.007168,0.008192,0.007168
32,0.007168,0.0,0.036768,0.007168,0.007168,0.008096,0.008192,0.009216,0.008192,0.007168,0.008192,0.006144,0.006176,0.008192,0.007136
64,0.007168,0.0,0.062464,0.007168,0.007104,0.007168,0.008192,0.009248,0.008192,0.007168,0.008192,0.006144,0.007168,0.008192,0.006176
128,0.007168,0.0,0.110592,0.007168,0.007104,0.008192,0.008192,0.01024,0.008192,0.007168,0.008192,0.006144,0.007168,0.008192,0.007072
256,0.007168,0.0,0.210944,0.007168,0.007168,0.008192,0.008288,0.01024,0.008192,0.007168,0.008192,0.007168,0.007168,0.008192,0.006144
512,0.007168,0.0,0.402432,0.007104,0.007168,0.008192,0.008256,0.01024,0.008192,0.007136,0.008192,0.006176,0.007168,0.008192,0.006144
1024,0.007168,0.0,0.81408,0.007136,0.007168,0.008192,0.009216,0.01024,0.009216,0.007168,0.009216,0.007168,0.007168,0.008192,0.006144
2048,0.007168,0.0,1.74688,0.00704,0.007168,0.009216,0.011264,0.011264,0.01024,0.007104,0.009216,0.007168,0.007168,0.009216,0.006144
4096,0.006144,0.0,3.37203,0.007072,0.007168,0.011264,0.013312,0.013312,0.013312,0.006144,0.011264,0.007168,0.006144,0.011136,0.007136
8192,0.006144,0.0,7.22227,0.007168,0.007168,0.014336,0.017408,0.016384,0.019456,0.006144,0.01536,0.007168,0.007168,0.014336,0.01024
16384,0.007168,0.0,13.7288,0.008192,0.008192,0.023552,0.0256,0.026624,0.034816,0.007168,0.026624,0.007168,0.009216,0.022528,0.013312
32768,0.01024,0.0,27.8016,0.011264,0.009216,0.041984,0.041984,0.045056,0.072672,0.012288,0.048128,0.007168,0.012288,0.036864,0.017312
65536,0.022592,0.0,58.0157,0.03072,0.01024,0.072704,0.07168,0.080896,0.180224,0.025568,0.089152,0.007168,0.034816,0.065536,0.017408
131072,0.050176,0.0,114.394,0.068608,0.014336,0.145408,0.131072,0.0,0.4608,0.052224,0.169984,0.007168,0.072704,0.131072,0.018368
262144,0.104256,0.0,212.057,0.146432,0.022528,0.274432,0.251904,0.0,1.43053,0.104448,0.347136,0.007168,0.144384,0.267264,0.018432
524288,0.208896,0.0,0.0,0.289792,0.039936,0.540672,0.508928,0.0,4.22605,0.205824,0.702464,0.007168,0.283648,0.509952,0.021504
1048576,0.41472,0.0,0.0,0.576512,0.072704,1.05472,1.00573,0.0,9.65427,0.405504,1.39264,0.008192,0.556032,1.07302,0.029696
