Threads,RegEff-CF,ScatterAlloc,Gallatin,RegEff-CFM,FDGMalloc,Ouroboros-P-S,Ouroboros-C-VA,Ouroboros-P-VA,Ouroboros-P-VL,Ouroboros-C-S,RegEff-AW,Ouroboros-C-VL,CUDA,RegEff-CM,RegEff-C
1,0.007168,0.007168,0.006144,0.00624,0.0,0.008192,0.007168,0.007168,0.008192,0.007168,0.006144,0.007168,0.016384,0.00512,0.007168
2,0.007168,0.0,0.007168,0.006144,0.0,0.008192,0.007168,0.008192,0.008192,0.007168,0.006144,0.007168,0.016416,0.007168,0.007168
4,0.007136,0.0,0.007168,0.007136,0.0,0.008192,0.007168,0.008192,0.008192,0.007168,0.007168,0.007168,0.017408,0.007104,0.007168
8,0.007168,0.0,0.006208,0.007136,0.0,0.008192,0.007168,0.008192,0.008192,0.007168,0.006144,0.007168,0.018432,0.006144,0.007168
16,0.007168,0.0,0.006208,0.007168,0.0,0.008192,0.007168,0.008192,0.008192,0.007168,0.006144,0.007168,0.021504,0.006144,0.007168
32,0.007168,0.0,0.007168,0.007104,0.0,0.008192,0.007168,0.008192,0.008192,0.007168,0.006176,0.007168,0.026624,0.007168,0.007168
64,0.007168,0.0,0.007168,0.007168,0.0,0.008192,0.00816,0.008192,0.008192,0.007168,0.006144,0.007168,0.034816,0.006144,0.007168
128,0.007168,0.0,0.007072,0.007168,0.0,0.008192,0.009216,0.008192,0.008192,0.008192,0.006144,0.008192,0.048256,0.007168,0.007168
256,0.007168,0.0,0.007168,0.006208,0.0,0.008192,0.009216,0.009216,0.008192,0.008192,0.006144,0.008192,0.079872,0.007168,0.007168
512,0.007168,0.0,0.007168,0.00624,0.0,0.008192,0.009216,0.009216,0.008192,0.008192,0.006144,0.008192,0.140288,0.007168,0.007104
1024,0.007168,0.0,0.006144,0.007168,0.0,0.009184,0.01024,0.009216,0.009248,0.008192,0.007168,0.008192,0.279424,0.00624,0.007168
2048,0.007168,0.0,0.007168,0.007168,0.0,0.009216,0.01024,0.011264,0.011264,0.009216,0.007168,0.009216,0.60928,0.007168,0.007168
4096,0.007168,0.0,0.006144,0.007168,0.0,0.011264,0.011264,0.012288,0.014336,0.01024,0.007168,0.01024,1.19501,0.007168,0.007168
8192,0.007168,0.0,0.007136,0.007168,0.0,0.014336,0.014336,0.017408,0.019456,0.013312,0.007168,0.013312,2.21594,0.007168,0.007168
16384,0.008192,0.0,0.006144,0.007168,0.0,0.021504,0.02048,0.023552,0.032768,0.02048,0.007168,0.019456,3.58912,0.007104,0.007168
32768,0.01024,0.0,0.007168,0.007168,0.0,0.03584,0.034816,0.039936,0.072704,0.033792,0.007168,0.033792,7.9351,0.007168,0.008192
65536,0.01536,0.0,0.008192,0.016384,0.0,0.064512,0.06144,0.069632,0.181248,0.062464,0.007168,0.060416,16.8673,0.016384,0.012224
131072,0.049152,0.0,0.016384,0.068608,0.0,0.131072,0.11776,0.129024,0.468928,0.12288,0.007168,0.115712,29.3868,0.049152,0.038912
262144,0.115712,0.0,0.019456,0.136192,0.0,0.263168,0.0,0.25088,1.39162,0.234496,0.007168,0.222208,41.4884,0.098304,0.091136
524288,0.252928,0.0,0.0256,0.262144,0.0,0.51712,0.44032,0.498688,3.96909,0.457728,0.007168,0.436224,63.8689,0.19456,0.18944
1048576,0.514048,0.0,0.032672,0.510976,0.0,1.05984,0.871424,1.02803,9.3993,0.917504,0.008192,0.864256,113.107,0.384,0.384768
