Threads,Ouroboros-C-VL,RegEff-CFM,Ouroboros-C-S,CUDA,Ouroboros-P-VA,FDGMalloc,Ouroboros-P-S,RegEff-C,Ouroboros-P-VL,Ouroboros-C-VA,RegEff-CM,ScatterAlloc,RegEff-AW,Gallatin,RegEff-CF
1,0.007168,0.01024,0.007168,0.014336,0.008192,0.0,0.00816,0.007168,0.008192,0.009184,0.007168,0.006144,0.006144,0.007168,0.007072
2,0.008192,0.007168,0.007168,0.01536,0.008192,0.0,0.007168,0.007168,0.008192,0.009216,0.006144,0.007168,0.006144,0.006144,0.006176
4,0.008192,0.007168,0.007168,0.01536,0.008192,0.0,0.008192,0.007168,0.008192,0.009216,0.007168,0.007168,0.006144,0.007072,0.007168
8,0.008192,0.007104,0.008192,0.018432,0.008192,0.0,0.00816,0.007168,0.008192,0.009216,0.007168,0.007168,0.006144,0.007104,0.007168
16,0.008192,0.007168,0.008192,0.02048,0.008192,0.0,0.008192,0.007168,0.008192,0.009216,0.007168,0.007168,0.006144,0.007168,0.00624
32,0.008192,0.007168,0.008192,0.026624,0.008192,0.0,0.008192,0.007168,0.008192,0.009216,0.007168,0.007168,0.006144,0.006144,0.007168
64,0.008192,0.007168,0.008192,0.037888,0.008192,0.0,0.008192,0.007168,0.008192,0.009216,0.007168,0.008192,0.006144,0.006144,0.007168
128,0.008192,0.007136,0.008192,0.064512,0.008192,0.0,0.008192,0.006208,0.008192,0.009216,0.007168,0.009216,0.006144,0.006144,0.007168
256,0.009216,0.007104,0.009216,0.114688,0.009184,0.0,0.008192,0.007168,0.008192,0.01024,0.007168,0.012288,0.006144,0.006144,0.007168
512,0.009216,0.00624,0.009216,0.211968,0.009216,0.0,0.008192,0.00624,0.008192,0.011264,0.006176,0.012288,0.007072,0.007168,0.007168
1024,0.012288,0.007168,0.012288,0.478208,0.011264,0.0,0.009216,0.006176,0.011264,0.01424,0.006144,0.013312,0.007168,0.007168,0.007168
2048,0.012288,0.007168,0.017472,1.01069,0.013312,0.0,0.01024,0.007136,0.012288,0.016384,0.006144,0.013248,0.007168,0.007168,0.007168
4096,0.018432,0.007168,0.027648,1.99373,0.016384,0.0,0.012288,0.007104,0.01536,0.02048,0.007136,0.013312,0.007168,0.0144,0.007168
8192,0.027648,0.008192,0.048128,3.67821,0.02048,0.0,0.016384,0.007104,0.02048,0.0,0.006144,0.014336,0.007072,0.014336,0.007168
16384,0.049152,0.009216,0.091136,7.10851,0.028672,0.0,0.023552,0.007168,0.03584,0.058368,0.007168,0.0256,0.007168,0.015296,0.009184
32768,0.106496,0.011264,0.201728,14.1599,0.047072,0.0,0.039936,0.012288,0.075744,0.0,0.012288,0.0,0.007168,0.014336,0.013312
65536,0.330592,0.0,0.4352,28.927,0.083968,0.0,0.073728,0.0256,0.185344,0.0,0.024384,0.0,0.007168,0.01536,0.033728
131072,0.88048,0.0,0.95744,57.9625,0.15872,0.0,0.148288,0.0512,0.509952,0.0,0.0,0.0,0.007168,0.016384,0.07168
262144,1.72851,0.0,1.89542,106.95,0.285696,0.0,0.27536,0.0,1.31379,0.0,0.0,0.0,0.004096,0.01552,0.0
